division,miles_from_MA_border_nb,miles_from_div_start_nb,location,elevation_ft,elevation_m,miles_from_div_start_sb
division10,204.4,9.7,"Cliff Trail to Cliff House (3600 ft / 1098 m), 0.4 mi E",4020.0,1226.0,17.9
division10,204.6,9.9,"Sunset Ridge Trail to Laura Cowles Trail; to Underhill State Park, 3.1 mi W; Profanity Trail to Taft Lodge, 0.5 mi E",4260.0,1299.0,17.7
division10,204.8,10.1,"Chin, Mt. Mansfield’s highest peak",4395.0,1340.0,17.5
division10,205.1,10.4,"Eagle Pass; Adam’s Apple Trail to Adam’s Apple (4060 ft/1250 m), 0.2 mi N; Hell Brook Trail to Vt. 108, 1.5 mi E",3990.0,1217.0,17.2
division10,205.4,10.7,"Profanity Trail; Taft Lodge, 200 ft S via spur; Hell Brook Cutoff",3650.0,1113.0,16.9
division10,207.4,12.7,Vt. 108 at Long Trail south,1600.0,488.0,14.9
division10,207.6,12.9,Barnes Camp Boardwalk,1560.0,475.0,14.7
division10,207.8,13.1,Barnes Camp Visitor Center,1560.0,475.0,14.5
division10,210.0,15.3,"Elephant’s Head Cliff (2800 ft / 853 m), 0.1 mi W via spur",2850.0,867.0,12.3
division10,210.7,16.0,"Snuffy’s ski trail; Elephant’s Head Trail to Sterling Pond Shelter, 0.7 mi E",3080.0,939.0,11.6
division10,211.0,16.3,"Sterling Pond Trail to Vt. 108, 1.1 mi W",3040.0,927.0,11.3
division10,211.1,16.4,Sterling Pond outlet,3000.0,915.0,11.2
division10,211.3,16.6,Sterling Pond Shelter; Elephant’s Head Trail,3030.0,924.0,11.0
division10,212.5,17.8,"Madonna Peak, chairlift",3668.0,1119.0,9.8
division10,213.3,18.6,"Chilcoot Pass; Chilcoot Trail to Beaver Meadow Lodge (2214 ft / 675 m), 0.8 mi E",2950.0,899.0,9.0
division10,213.7,19.0,Hagerman Overlook,3190.0,972.0,8.6
division10,214.0,19.3,"Morse Mtn., east slope",3380.0,1030.0,8.3
division10,214.8,20.1,"Whiteface Shelter; Whiteface Trail to Beaver Meadow Lodge (2214 ft / 675 m), 1.0 mi S",3156.0,962.0,7.5
division10,215.3,20.6,Sterling Mtn. (Whiteface Mtn.),3714.0,1132.0,7.0
division10,218.4,23.7,"Bear Hollow Shelter, 100 ft E via spur",1380.0,421.0,3.9
division10,221.4,26.7,Lamoille Valley Rail Trail at West Settlement Road,500.0,152.0,0.9
division10,222.3,27.6,Vt. 15 at cemetery,500.0,152.0,0.0
division11,222.7,0.4,Suspension bridge across Lamoille River,500.0,152.0,26.0
division11,223.7,1.4,Prospect Rock,1040.0,317.0,25.0
division11,224.0,1.7,Prospect Rock Road,960.0,293.0,24.7
division11,225.6,3.3,Roundtop Shelter,1650.0,503.0,23.1
division11,226.5,4.2,Plot Road,1254.0,382.0,22.2
division11,228.9,6.6,Codding Hollow Road,1230.0,375.0,19.8
division11,230.7,8.4,Laraway Lookout,2620.0,799.0,18.0
division11,231.0,8.7,Laraway Mountain,2790.0,850.0,17.7
division11,233.7,11.4,Corliss Camp,1900.0,579.0,15.0
division11,234.9,12.6,Butternut Mountain,2715.0,828.0,13.8
division11,236.7,14.4,Basin Brook,1890.0,576.0,12.0
division11,237.9,15.6,"Bowen Mountain, south summit",2290.0,698.0,10.8
division11,239.4,17.1,"Bowen Mountain, north summit",2200.0,671.0,9.3
division11,240.3,18.0,Spruce Ledge Camp,1515.0,469.0,8.4
division11,240.7,18.4,Devil’s Gulch,1260.0,384.0,8.0
division11,241.3,19.0,Babcock Trail,1100.0,335.0,7.4
division11,241.6,19.3,Ritterbush Lookout,1300.0,396.0,7.1
division11,243.3,21.0,Vt. 118 at Eden Crossing,1320.0,402.0,5.4
division11,245.9,23.6,Belvidere Saddle,3200.0,975.0,2.8
division11,248.7,26.4,Frank Post Trail,2560.0,780.0,0.0
division12,249.3,0.6,Tillotson Peak,2980.0,908.0,22.8
division12,251.4,2.7,Haystack Mountain,3180.0,969.0,20.7
division12,253.3,4.6,Vt. 58 at Hazen’s Notch,1780.0,543.0,18.8
division12,254.8,6.1,Hazen’s Notch Camp,2040.0,622.0,17.3
division12,256.2,7.5,Bruce Peak,2900.0,884.0,15.9
division12,257.1,8.4,Buchanan Mountain,2940.0,896.0,15.0
division12,257.3,8.6,Chet’s Lookout,2900.0,884.0,14.8
division12,258.3,9.6,Domey’s Dome,2880.0,878.0,13.8
division12,259.3,10.6,Gilpin Mountain,2920.0,890.0,12.8
division12,260.1,11.4,Vt. 242 at Jay Pass,2220.0,677.0,12.0
division12,260.2,11.5,Jay Loop south end,2238.0,682.0,11.9
division12,260.4,11.7,Jay Loop north end,2460.0,756.0,11.7
division12,261.8,13.1,Jay Peak,3858.0,1176.0,10.3
division12,263.4,14.7,Laura Woodward Shelter,2800.0,853.0,8.7
division12,264.3,15.6,Doll Peak,3409.0,1039.0,7.8
division12,264.8,16.1,Unnamed peak of North Jay Massif,3320.0,1012.0,7.3
division12,267.7,19.0,Shooting Star Shelter,2260.0,689.0,4.4
division12,268.3,19.6,Burnt Mountain,2608.0,795.0,3.8
division12,269.5,20.8,Vt. 105 at North Jay Pass,2150.0,655.0,2.6
division12,270.7,22.0,Carleton Mountain,2670.0,814.0,1.4
division12,272.1,23.4,U.S.-Canadian Border (northern terminus of Long Trail),2100.0,640.0,0.0
